Lat,Lon,Time Range,geartype,Vessel IDs,Apparent Fishing Hours
70.800000,35.600000,2022-02,trawlers,3,13.69
70.700000,35.400000,2022-02,trawlers,1,1.05
70.700000,35.600000,2022-02,trawlers,1,2.88
70.600000,35.600000,2022-02,trawlers,1,1.68
70.700000,36.400000,2022-02,set_longlines,1,5.97
70.600000,36.400000,2022-02,set_longlines,1,2.21
71.400000,36.600000,2022-02,trawlers,3,3.86
71.400000,36.700000,2022-02,trawlers,4,7.84
71.400000,36.900000,2022-02,trawlers,3,5.48
71.400000,37.000000,2022-02,trawlers,2,1.51
71.200000,36.700000,2022-02,trawlers,7,10.43
71.200000,37.100000,2022-02,trawlers,3,12.26
71.200000,36.900000,2022-02,trawlers,2,3.81
71.100000,36.900000,2022-02,trawlers,6,11.92
71.100000,36.800000,2022-02,trawlers,13,27.54
71.200000,37.000000,2022-02,trawlers,2,5.02
71.100000,37.000000,2022-02,trawlers,5,8.20
71.200000,37.200000,2022-02,trawlers,4,11.19
71.100000,37.300000,2022-02,trawlers,7,32.79
71.100000,37.400000,2022-02,trawlers,8,36.20
71.100000,37.700000,2022-02,trawlers,2,8.40
71.100000,37.900000,2022-02,trawlers,1,0.95
71.100000,38.700000,2022-02,trawlers,3,7.27
71.000000,36.800000,2022-02,trawlers,6,4.60
71.000000,36.900000,2022-02,trawlers,2,2.05
71.000000,37.100000,2022-02,trawlers,2,0.93
71.000000,37.400000,2022-02,trawlers,8,52.81
71.000000,37.300000,2022-02,trawlers,6,20.30
71.000000,37.400000,2022-02,set_longlines,1,3.28
70.900000,37.400000,2022-02,set_longlines,1,1.18
70.900000,37.500000,2022-02,set_longlines,1,2.10
70.800000,37.300000,2022-02,trawlers,1,0.36
70.800000,37.800000,2022-02,fishing,1,1.42
70.800000,38.000000,2022-02,trawlers,2,4.13
70.700000,38.000000,2022-02,trawlers,1,0.82
71.000000,38.700000,2022-02,trawlers,6,24.32
71.000000,38.600000,2022-02,trawlers,6,12.45
71.100000,38.800000,2022-02,trawlers,2,4.61
71.000000,38.800000,2022-02,trawlers,4,1.96
